shipment_id,product_id,carrier_id,route_id,shipment_date,promised_delivery_date,actual_delivery_date,quantity_shipped,quantity_delivered,shipment_value_usd
S000026,P004,C05,R009,2024-10-06,2024-10-07,2024-10-11,420,420,32025
S000027,P007,C05,R044,2023-07-18,2023-07-23,2023-07-23,257,257,809550
S000028,P015,C09,R036,2024-02-13,2024-02-18,2024-02-21,23,23,60950
S000029,P012,C04,R014,2024-04-08,2024-04-12,2024-04-12,207,207,823860
S000030,P011,C04,R027,2024-04-06,2024-04-08,2024-04-08,299,299,864110
S000031,P010,C04,R015,2023-08-19,2023-08-20,2023-08-21,493,493,2760800
S000032,P017,C09,R026,2024-03-25,2024-03-27,2024-03-27,189,189,3496.5
S000033,P012,C06,R047,2024-02-15,2024-02-16,2024-02-16,192,192,764160
S000034,P007,C07,R024,2024-10-28,2024-11-02,2024-11-06,162,162,510300
S000035,P018,C04,R009,2024-03-13,2024-03-14,2024-03-14,120,120,4080
S000036,P001,C05,R020,2024-05-14,2024-05-18,2024-05-20,215,215,31175
S000037,P010,C10,R033,2023-07-24,2023-07-25,2023-07-25,111,111,621600
S000038,P008,C10,R031,2023-12-18,2023-12-19,2023-12-19,415,415,118275
S000039,P013,C05,R016,2024-03-22,2024-03-27,2024-03-27,67,67,125625
S000040,P017,C08,R036,2023-10-03,2023-10-08,2023-10-08,239,239,4421.5
S000041,P009,C02,R029,2024-05-22,2024-05-23,2024-05-23,309,309,95790
S000042,P005,C06,R046,2024-03-15,2024-03-18,2024-03-18,23,23,4830
S000043,P016,C06,R001,2024-06-20,2024-06-21,2024-06-21,182,182,604240
S000044,P008,C04,R032,2024-11-28,2024-12-01,2024-12-01,342,342,97470
S000045,P013,C01,R038,2023-09-28,2023-10-02,2023-10-06,109,109,204375
S000046,P014,C02,R017,2022-08-05,2022-08-06,2022-08-06,236,236,1463200
S000047,P001,C05,R016,2024-08-06,2024-08-11,2024-08-11,211,211,30595
S000048,P004,C03,R050,2023-06-19,2023-06-23,2023-06-23,305,305,23256.25
S000049,P004,C05,R045,2023-09-11,2023-09-12,2023-09-12,225,225,17156.25
S000050,P011,C07,R001,2022-11-28,2022-11-29,2022-11-29,415,415,1199350
S000051,P006,C09,R047,2024-08-31,2024-09-01,2024-09-01,128,128,537600
S000052,P009,C04,R021,2024-07-29,2024-07-30,2024-07-30,240,240,74400
S000053,P013,C01,R022,2024-08-13,2024-08-17,2024-08-17,420,420,787500
S000054,P003,C08,R016,2023-11-01,2023-11-06,2023-11-06,340,340,14280
S000055,P018,C06,R034,2023-07-06,2023-07-10,2023-07-10,261,261,8874
S000056,P006,C04,R013,2024-10-17,2024-10-18,2024-10-18,441,441,1852200
S000057,P012,C05,R012,2023-09-15,2023-09-17,2023-09-19,99,99,394020
S000058,P004,C10,R001,2022-10-28,2022-10-29,2022-10-29,66,66,5032.5
S000059,P013,C02,R032,2024-05-17,2024-05-20,2024-05-20,393,393,736875
S000060,P008,C09,R050,2023-03-28,2023-04-01,2023-04-01,183,183,52155
S000061,P009,C02,R043,2024-06-25,2024-06-26,2024-06-26,432,432,133920
S000062,P010,C04,R003,2023-12-08,2023-12-09,2023-12-09,216,216,1209600
S000063,P007,C05,R028,2024-10-16,2024-10-19,2024-10-19,384,384,1209600
S000064,P004,C05,R030,2024-08-06,2024-08-09,2024-08-09,236,236,17995
S000065,P001,C05,R006,2024-10-15,2024-10-19,2024-10-19,484,484,70180
S000066,P014,C08,R041,2023-05-11,2023-05-12,2023-05-12,20,20,124000
S000067,P016,C07,R019,2024-06-16,2024-06-17,2024-06-17,307,307,1019240
S000068,P001,C09,R043,2024-02-12,2024-02-13,2024-02-13,457,457,66265
S000069,P009,C06,R036,2024-03-31,2024-04-05,2024-04-05,241,241,74710
S000070,P016,C06,R046,2024-03-26,2024-03-29,2024-03-29,454,454,1507280
S000071,P009,C07,R050,2024-12-03,2024-12-07,2024-12-07,407,407,126170
S000072,P016,C06,R023,2024-04-13,2024-04-14,2024-04-14,478,478,1586960
S000073,P013,C07,R015,2023-03-03,2023-03-04,2023-03-08,393,393,736875
S000074,P016,C03,R003,2024-11-02,2024-11-03,2024-11-03,214,214,710480
S000075,P005,C03,R027,2023-06-03,2023-06-05,2023-06-05,296,296,62160
S000076,P011,C08,R041,2023-05-13,2023-05-14,2023-05-14,53,53,153170
S000077,P014,C02,R007,2024-01-30,2024-02-01,2024-02-01,233,233,1444600
S000078,P014,C04,R010,2023-07-31,2023-08-05,2023-08-05,276,276,1711200
S000079,P009,C05,R030,2023-02-25,2023-02-28,2023-02-28,390,390,120900
S000080,P014,C05,R045,2023-06-24,2023-06-25,2023-06-25,492,492,3050400
S000081,P019,C05,R019,2024-10-01,2024-10-02,2024-10-04,105,105,2388.75
S000082,P020,C05,R048,2024-01-24,2024-01-26,2024-01-26,413,413,6195
S000083,P005,C02,R041,2024-04-18,2024-04-19,2024-04-19,283,283,59430
S000084,P003,C06,R019,2023-09-29,2023-09-30,2023-09-30,199,199,8358
S000085,P006,C08,R017,2024-05-02,2024-05-03,2024-05-03,308,308,1293600
S000086,P013,C06,R036,2024-02-04,2024-02-09,2024-02-12,369,369,691875
S000087,P011,C04,R040,2024-12-17,2024-12-20,2024-12-20,113,113,326570
S000088,P004,C03,R016,2023-09-15,2023-09-20,2023-09-20,294,294,22417.5
S000089,P002,C06,R045,2024-03-22,2024-03-23,2024-03-23,157,157,15464.5
S000090,P012,C07,R004,2023-07-07,2023-07-11,2023-07-11,120,120,477600
S000091,P019,C02,R014,2024-11-23,2024-11-27,2024-11-27,478,478,10874.5
S000092,P006,C01,R008,2023-05-07,2023-05-09,2023-05-12,305,305,1281000
S000093,P017,C08,R008,2023-11-17,2023-11-19,2023-11-19,315,315,5827.5
S000094,P010,C01,R030,2023-12-27,2023-12-30,2023-12-31,172,172,963200
S000095,P005,C10,R018,2023-09-26,2023-09-30,2023-09-30,467,467,98070
S000096,P007,C04,R028,2023-05-11,2023-05-14,2023-05-14,341,341,1074150
S000097,P003,C02,R006,2024-09-04,2024-09-08,2024-09-08,280,280,11760
S000098,P014,C01,R047,2024-09-22,2024-09-23,2024-09-23,273,273,1692600
S000099,P004,C09,R023,2024-12-01,2024-12-02,2024-12-02,415,415,31643.75
S000100,P018,C10,R002,2023-07-09,2023-07-13,2023-07-13,123,123,4182
S000101,P013,C03,R005,2024-05-02,2024-05-03,2024-05-03,70,70,131250
S000102,P012,C06,R020,2023-01-04,2023-01-08,2023-01-08,424,424,1687520
S000103,P016,C08,R039,2024-08-02,2024-08-03,2024-08-03,221,221,733720
S000104,P019,C09,R032,2023-11-22,2023-11-25,2023-11-25,44,44,1001
S000105,P001,C07,R032,2023-06-30,2023-07-03,2023-07-03,44,44,6380
S000106,P015,C06,R005,2023-04-08,2023-04-09,2023-04-09,103,103,272950
S000107,P006,C08,R040,2024-03-11,2024-03-14,2024-03-14,379,379,1591800
S000108,P011,C06,R015,2023-05-11,2023-05-12,2023-05-12,304,304,878560
S000109,P005,C06,R016,2023-08-17,2023-08-22,2023-08-25,390,390,81900
S000110,P011,C08,R010,2024-09-06,2024-09-11,2024-09-15,74,74,213860
S000111,P003,C10,R040,2024-03-28,2024-03-31,2024-03-31,283,283,11886
S000112,P005,C08,R004,2023-08-16,2023-08-20,2023-08-22,451,451,94710
S000113,P006,C06,R024,2023-07-12,2023-07-17,2023-07-17,405,405,1701000
S000114,P020,C06,R010,2024-12-22,2024-12-27,2024-12-31,234,234,3510
S000115,P011,C09,R009,2024-06-29,2024-06-30,2024-06-30,312,312,901680
S000116,P016,C04,R013,2024-04-11,2024-04-12,2024-04-12,441,441,1464120
S000117,P002,C06,R043,2024-07-18,2024-07-19,2024-07-19,136,136,13396
S000118,P015,C07,R003,2024-10-20,2024-10-21,2024-10-21,187,187,495550
S000119,P008,C08,R020,2024-09-29,2024-10-03,2024-10-03,488,488,139080
S000120,P009,C08,R004,2023-10-16,2023-10-20,2023-10-20,132,132,40920
S000121,P015,C01,R023,2024-10-01,2024-10-02,2024-10-02,356,356,943400
S000122,P011,C06,R007,2024-08-19,2024-08-21,2024-08-21,92,92,265880
S000123,P001,C05,R006,2023-06-28,2023-07-02,2023-07-02,150,150,21750
S000124,P003,C08,R008,2024-03-01,2024-03-03,2024-03-03,31,28,1302
S000125,P012,C03,R016,2024-06-30,2024-07-05,2024-07-05,217,217,863660
S000126,P012,C01,R017,2024-01-24,2024-01-25,2024-01-25,410,410,1631800
S000127,P002,C09,R023,2024-12-15,2024-12-16,2024-12-16,234,234,23049
S000128,P005,C08,R005,2024-03-02,2024-03-03,2024-03-04,122,122,25620
S000129,P018,C05,R031,2024-01-30,2024-01-31,2024-02-01,150,150,5100
S000130,P012,C08,R028,2024-04-08,2024-04-11,2024-04-11,395,395,1572100
S000131,P014,C03,R039,2022-06-21,2022-06-22,2022-06-22,189,189,1171800
S000132,P006,C08,R045,2024-11-23,2024-11-24,2024-11-24,398,398,1671600
S000133,P002,C07,R005,2023-11-26,2023-11-27,2023-11-27,264,264,26004
S000134,P002,C02,R009,2023-11-23,2023-11-24,2023-11-24,433,433,42650.5
S000135,P012,C02,R029,2022-12-30,2022-12-31,2022-12-31,161,161,640780
S000136,P016,C07,R034,2023-07-31,2023-08-04,2023-08-04,456,456,1513920
S000137,P015,C06,R006,2024-11-30,2024-12-04,2024-12-04,30,30,79500
S000138,P004,C03,R013,2022-08-26,2022-08-27,2022-08-27,332,332,25315
S000139,P003,C07,R020,2022-09-21,2022-09-25,2022-09-25,66,66,2772
S000140,P012,C09,R009,2024-01-16,2024-01-17,2024-01-17,288,288,1146240
S000141,P005,C03,R020,2024-04-13,2024-04-17,2024-04-17,117,117,24570
S000142,P018,C03,R006,2023-08-04,2023-08-08,2023-08-08,143,143,4862
S000143,P007,C10,R050,2024-01-30,2024-02-03,2024-02-03,368,368,1159200
S000144,P002,C08,R011,2023-03-15,2023-03-16,2023-03-16,288,288,28368
S000145,P012,C06,R026,2024-05-11,2024-05-13,2024-05-13,441,441,1755180
S000146,P010,C10,R025,2024-10-23,2024-10-24,2024-10-24,445,445,2492000
S000147,P006,C09,R032,2023-03-16,2023-03-19,2023-03-19,375,375,1575000
S000148,P002,C05,R004,2024-03-30,2024-04-03,2024-04-03,379,379,37331.5
S000149,P002,C05,R026,2024-05-20,2024-05-22,2024-05-22,241,241,23738.5
S000150,P005,C07,R007,2023-03-23,2023-03-25,2023-03-25,31,31,6510
S000151,P002,C01,R003,2024-10-19,2024-10-20,2024-10-20,211,211,20783.5
S000152,P020,C03,R021,2024-04-24,2024-04-25,2024-04-25,479,479,7185
S000153,P019,C08,R020,2024-08-19,2024-08-23,2024-08-23,77,77,1751.75
S000154,P019,C01,R015,2024-09-30,2024-10-01,2024-10-01,194,194,4413.5
S000155,P002,C02,R037,2023-03-02,2023-03-03,2023-03-03,111,111,10933.5
S000156,P016,C03,R048,2024-12-11,2024-12-13,2024-12-13,166,166,551120
S000157,P018,C05,R023,2023-05-21,2023-05-22,2023-05-22,339,339,11526
S000158,P016,C08,R021,2024-03-18,2024-03-19,2024-03-19,79,79,262280
S000159,P013,C03,R026,2024-08-19,2024-08-21,2024-08-21,193,193,361875
S000160,P007,C05,R035,2024-12-13,2024-12-15,2024-12-15,423,423,1332450
S000161,P002,C07,R007,2023-05-06,2023-05-08,2023-05-08,463,463,45605.5
S000162,P016,C04,R031,2024-09-04,2024-09-05,2024-09-05,414,414,1374480
S000163,P008,C01,R035,2024-06-22,2024-06-24,2024-06-24,357,357,101745
S000164,P010,C01,R003,2024-10-12,2024-10-13,2024-10-13,121,121,677600
S000165,P016,C09,R009,2023-02-23,2023-02-24,2023-02-24,95,95,315400
S000166,P006,C06,R001,2024-05-10,2024-05-11,2024-05-11,167,167,701400
S000167,P017,C02,R021,2022-10-22,2022-10-23,2022-10-23,244,244,4514
S000168,P013,C05,R016,2022-11-03,2022-11-08,2022-11-08,425,425,796875
S000169,P017,C02,R046,2024-04-24,2024-04-27,2024-04-27,92,92,1702
S000170,P012,C09,R027,2023-09-30,2023-10-02,2023-10-02,270,270,1074600
S000171,P015,C06,R034,2024-08-27,2024-08-31,2024-09-03,402,402,1065300
S000172,P019,C02,R032,2024-08-02,2024-08-05,2024-08-05,240,240,5460
S000173,P010,C01,R047,2024-12-28,2024-12-29,2024-12-29,380,380,2128000
S000174,P018,C02,R004,2023-12-10,2023-12-14,2023-12-14,226,226,7684
S000175,P013,C09,R006,2024-12-24,2024-12-28,2024-12-30,171,171,320625
S000176,P014,C07,R035,2024-11-11,2024-11-13,2024-11-13,287,287,1779400
S000177,P020,C01,R050,2023-11-29,2023-12-03,2023-12-03,497,497,7455
S000178,P007,C01,R049,2024-02-25,2024-02-26,2024-02-26,492,492,1549800
S000179,P008,C03,R020,2023-11-23,2023-11-27,2023-11-27,182,182,51870
S000180,P012,C07,R042,2024-02-29,2024-03-04,2024-03-04,285,285,1134300
S000181,P015,C09,R004,2024-05-02,2024-05-06,2024-05-06,194,194,514100
S000182,P007,C05,R004,2022-09-19,2022-09-23,2022-09-23,312,312,982800
S000183,P004,C08,R048,2023-02-26,2023-02-28,2023-02-28,200,200,15250
S000184,P018,C06,R042,2024-04-14,2024-04-18,2024-04-18,203,203,6902
S000185,P008,C06,R048,2024-12-14,2024-12-16,2024-12-16,148,148,42180
S000186,P016,C06,R036,2024-06-09,2024-06-14,2024-06-16,138,138,458160
S000187,P002,C01,R034,2024-06-13,2024-06-17,2024-06-17,380,380,37430
S000188,P007,C08,R033,2024-04-04,2024-04-05,2024-04-05,478,478,1505700
S000189,P018,C01,R036,2024-09-11,2024-09-16,2024-09-16,101,101,3434
S000190,P020,C05,R034,2023-11-07,2023-11-11,2023-11-11,112,112,1680
S000191,P002,C07,R006,2023-11-06,2023-11-10,2023-11-10,301,301,29648.5
S000192,P019,C05,R031,2024-01-27,2024-01-28,2024-02-01,62,62,1410.5
S000193,P007,C06,R038,2024-09-20,2024-09-24,2024-09-24,126,126,396900
S000194,P017,C01,R048,2023-07-09,2023-07-11,2023-07-13,71,71,1313.5
S000195,P015,C04,R032,2023-07-26,2023-07-29,2023-07-29,151,151,400150
S000196,P009,C07,R010,2023-04-17,2023-04-22,2023-04-22,459,459,142290
S000197,P015,C07,R036,2023-05-20,2023-05-25,2023-05-29,29,29,76850
S000198,P006,C07,R044,2024-01-06,2024-01-11,2024-01-11,261,261,1096200
S000199,P016,C10,R039,2023-07-09,2023-07-10,2023-07-10,96,96,318720
S000200,P015,C07,R022,2023-02-09,2023-02-13,2023-02-13,104,104,275600
S000201,P010,C08,R048,2023-09-28,2023-09-30,2023-09-30,307,307,1719200
S000202,P019,C03,R035,2023-09-15,2023-09-17,2023-09-17,398,398,9054.5
S000203,P014,C08,R044,2022-10-17,2022-10-22,2022-10-23,179,179,1109800
S000204,P014,C01,R035,2024-01-02,2024-01-04,2024-01-04,135,135,837000
S000205,P006,C10,R042,2024-03-12,2024-03-16,2024-03-18,465,465,1953000
S000206,P017,C10,R036,2024-12-26,2024-12-31,2024-12-31,379,379,7011.5
S000207,P012,C06,R020,2023-06-07,2023-06-11,2023-06-11,256,256,1018880
S000208,P001,C02,R022,2024-11-15,2024-11-19,2024-11-19,446,446,64670
S000209,P006,C07,R012,2024-03-10,2024-03-12,2024-03-12,481,481,2020200
S000210,P009,C02,R049,2023-04-02,2023-04-03,2023-04-03,149,149,46190
S000211,P016,C06,R034,2024-11-23,2024-11-27,2024-11-27,469,469,1557080
S000212,P005,C02,R021,2023-02-23,2023-02-24,2023-02-24,136,136,28560
S000213,P019,C07,R025,2023-06-13,2023-06-14,2023-06-14,192,192,4368
S000214,P010,C03,R009,2024-02-19,2024-02-20,2024-02-20,165,165,924000
S000215,P013,C08,R036,2022-05-26,2022-05-31,2022-05-31,149,149,279375
S000216,P015,C08,R037,2023-02-17,2023-02-18,2023-02-18,348,348,922200
S000217,P015,C04,R035,2024-05-10,2024-05-12,2024-05-12,279,279,739350
S000218,P003,C02,R029,2024-05-14,2024-05-15,2024-05-15,143,143,6006
S000219,P006,C03,R040,2024-06-04,2024-06-07,2024-06-07,26,26,109200
S000220,P019,C09,R018,2024-08-31,2024-09-04,2024-09-04,168,168,3822
S000221,P008,C07,R049,2024-02-04,2024-02-05,2024-02-05,207,207,58995
S000222,P013,C05,R033,2023-02-28,2023-03-01,2023-03-01,215,215,403125
S000223,P015,C06,R041,2024-09-12,2024-09-13,2024-09-13,240,240,636000
S000224,P010,C09,R022,2024-10-31,2024-11-04,2024-11-04,124,124,694400
S000225,P015,C07,R001,2024-09-21,2024-09-22,2024-09-22,266,266,704900
S000226,P009,C05,R006,2022-10-10,2022-10-14,2022-10-15,363,363,112530
S000227,P019,C09,R015,2022-10-20,2022-10-21,2022-10-21,171,146,3890.25
S000228,P016,C04,R005,2024-12-26,2024-12-27,2024-12-27,455,455,1510600
S000229,P005,C03,R042,2023-04-02,2023-04-06,2023-04-07,280,280,58800
S000230,P015,C02,R014,2024-05-15,2024-05-19,2024-05-19,469,469,1242850
S000231,P020,C10,R047,2024-01-25,2024-01-26,2024-01-26,277,277,4155
S000232,P007,C05,R048,2024-06-06,2024-06-08,2024-06-08,30,30,94500
S000233,P001,C06,R024,2024-03-23,2024-03-28,2024-03-30,492,492,71340
S000234,P013,C05,R033,2023-07-04,2023-07-05,2023-07-05,416,416,780000
S000235,P005,C05,R018,2023-04-11,2023-04-15,2023-04-15,243,243,51030
S000236,P008,C04,R004,2024-02-18,2024-02-22,2024-02-26,107,107,30495
S000237,P001,C08,R011,2023-03-15,2023-03-16,2023-03-16,381,381,55245
S000238,P004,C01,R050,2023-08-01,2023-08-05,2023-08-05,243,243,18528.75
S000239,P019,C06,R011,2024-03-03,2024-03-04,2024-03-06,253,253,5755.75
S000240,P002,C04,R001,2024-08-11,2024-08-12,2024-08-15,39,39,3841.5
S000241,P014,C06,R015,2024-02-15,2024-02-16,2024-02-16,205,205,1271000
S000242,P002,C04,R012,2024-10-27,2024-10-29,2024-10-29,246,246,24231
S000243,P018,C01,R030,2022-07-06,2022-07-09,2022-07-09,449,449,15266
S000244,P005,C07,R001,2024-03-31,2024-04-01,2024-04-05,407,407,85470
S000245,P010,C04,R007,2024-09-21,2024-09-23,2024-09-23,324,324,1814400
S000246,P002,C09,R015,2024-12-21,2024-12-22,2024-12-22,136,136,13396
S000247,P013,C10,R005,2023-09-20,2023-09-21,2023-09-21,202,202,378750
S000248,P011,C08,R021,2024-09-07,2024-09-08,2024-09-08,322,322,930580
S000249,P011,C02,R027,2024-05-23,2024-05-25,2024-05-25,259,259,748510
S000250,P020,C04,R003,2024-12-03,2024-12-04,2024-12-04,344,344,5160
S000251,P010,C03,R017,2022-06-27,2022-06-28,2022-06-30,132,132,739200
S000252,P004,C01,R001,2024-11-28,2024-11-29,2024-11-29,445,445,33931.25
S000253,P019,C05,R038,2024-01-15,2024-01-19,2024-01-20,487,487,11079.25
S000254,P013,C01,R032,2022-09-20,2022-09-23,2022-09-23,193,193,361875
S000255,P008,C05,R042,2022-09-19,2022-09-23,2022-09-23,433,433,123405
S000256,P001,C06,R025,2023-07-22,2023-07-23,2023-07-23,348,348,50460
S000257,P011,C04,R039,2023-02-13,2023-02-14,2023-02-16,215,215,621350
S000258,P004,C05,R016,2022-06-11,2022-06-16,2022-06-16,267,267,20358.75
S000259,P019,C06,R002,2024-07-21,2024-07-25,2024-07-25,440,440,10010
S000260,P008,C04,R039,2023-07-03,2023-07-04,2023-07-06,346,346,98610
S000261,P011,C01,R004,2024-07-19,2024-07-23,2024-07-23,188,188,543320
S000262,P011,C06,R020,2023-05-25,2023-05-29,2023-05-31,349,349,1008610
S000263,P019,C07,R012,2023-10-01,2023-10-03,2023-10-03,296,296,6734
S000264,P020,C10,R021,2024-10-22,2024-10-23,2024-10-23,233,233,3495
S000265,P011,C02,R011,2024-03-30,2024-03-31,2024-03-31,303,303,875670
S000266,P003,C05,R023,2024-01-16,2024-01-17,2024-01-17,475,475,19950
S000267,P018,C02,R025,2023-10-30,2023-10-31,2023-10-31,298,298,10132
S000268,P001,C05,R021,2023-05-10,2023-05-11,2023-05-11,93,93,13485
S000269,P011,C10,R039,2023-07-30,2023-07-31,2023-07-31,91,91,262990
S000270,P011,C04,R014,2023-03-12,2023-03-16,2023-03-16,487,487,1407430
S000271,P002,C01,R024,2024-07-26,2024-07-31,2024-07-31,195,195,19207.5
S000272,P016,C05,R043,2023-03-23,2023-03-24,2023-03-26,121,121,401720
S000273,P015,C05,R030,2024-03-30,2024-04-02,2024-04-06,372,372,985800
S000274,P017,C09,R027,2024-07-11,2024-07-13,2024-07-13,447,447,8269.5
S000275,P017,C09,R037,2023-07-07,2023-07-08,2023-07-08,489,489,9046.5
S000276,P007,C03,R013,2024-07-12,2024-07-13,2024-07-15,267,267,841050
S000277,P009,C02,R021,2023-10-08,2023-10-09,2023-10-09,450,450,139500
S000278,P019,C07,R034,2024-04-11,2024-04-15,2024-04-16,292,292,6643
S000279,P016,C10,R037,2024-06-05,2024-06-06,2024-06-06,20,20,66400
S000280,P011,C04,R045,2024-02-24,2024-02-25,2024-02-28,313,313,904570
S000281,P016,C02,R045,2024-06-03,2024-06-04,2024-06-04,161,161,534520
S000282,P020,C02,R042,2024-11-04,2024-11-08,2024-11-08,134,134,2010
S000283,P005,C09,R050,2022-12-31,2023-01-04,2023-01-04,103,103,21630
S000284,P012,C09,R030,2024-07-04,2024-07-07,2024-07-07,303,303,1205940
S000285,P012,C03,R023,2024-10-19,2024-10-20,2024-10-20,417,417,1659660
S000286,P019,C04,R050,2023-07-16,2023-07-20,2023-07-20,284,284,6461
S000287,P001,C05,R015,2024-10-07,2024-10-08,2024-10-08,380,380,55100
S000288,P009,C08,R014,2024-03-09,2024-03-13,2024-03-13,81,81,25110
S000289,P004,C02,R031,2022-12-02,2022-12-03,2022-12-03,464,464,35380
S000290,P007,C09,R010,2024-12-06,2024-12-11,2024-12-11,27,27,85050
S000291,P002,C10,R038,2023-06-18,2023-06-22,2023-06-22,474,474,46689
S000292,P004,C03,R031,2024-10-30,2024-10-31,2024-10-31,229,229,17461.25
S000293,P008,C04,R023,2023-02-14,2023-02-15,2023-02-15,399,399,113715
S000294,P004,C01,R031,2024-05-13,2024-05-14,2024-05-14,161,161,12276.25
S000295,P013,C05,R034,2024-02-27,2024-03-02,2024-03-02,68,68,127500
S000296,P011,C03,R041,2023-08-17,2023-08-18,2023-08-18,401,401,1158890
S000297,P016,C02,R049,2024-09-17,2024-09-18,2024-09-18,296,296,982720
S000298,P018,C06,R013,2024-02-09,2024-02-10,2024-02-10,286,286,9724
S000299,P008,C06,R015,2023-11-15,2023-11-16,2023-11-16,38,38,10830
S000300,P015,C09,R047,2024-05-03,2024-05-04,2024-05-04,259,259,686350
S000301,P006,C05,R026,2024-07-19,2024-07-21,2024-07-21,172,172,722400
S000302,P009,C09,R050,2023-01-06,2023-01-10,2023-01-10,497,497,154070
S000303,P018,C08,R017,2024-08-06,2024-08-07,2024-08-07,277,277,9418
S000304,P017,C03,R018,2024-04-23,2024-04-27,2024-04-27,285,285,5272.5
S000305,P014,C03,R019,2024-09-18,2024-09-19,2024-09-21,444,444,2752800
S000306,P003,C08,R008,2023-11-23,2023-11-25,2023-11-25,376,376,15792
S000307,P015,C02,R004,2024-06-30,2024-07-04,2024-07-04,165,165,437250
S000308,P006,C06,R022,2024-08-12,2024-08-16,2024-08-16,42,42,176400
S000309,P014,C03,R042,2024-10-30,2024-11-03,2024-11-06,212,212,1314400
S000310,P012,C01,R040,2024-06-20,2024-06-23,2024-06-23,344,344,1369120
S000311,P009,C06,R042,2024-12-15,2024-12-19,2024-12-23,433,433,134230
S000312,P014,C04,R043,2024-02-04,2024-02-05,2024-02-05,445,445,2759000
S000313,P001,C03,R042,2023-09-06,2023-09-10,2023-09-10,106,106,15370
S000314,P018,C07,R042,2024-08-21,2024-08-25,2024-08-25,88,88,2992
S000315,P014,C09,R003,2023-10-03,2023-10-04,2023-10-04,40,40,248000
S000316,P015,C06,R022,2023-02-13,2023-02-17,2023-02-17,416,416,1102400
S000317,P004,C04,R049,2023-11-20,2023-11-21,2023-11-22,303,303,23103.75
S000318,P002,C08,R011,2024-12-11,2024-12-12,2024-12-12,136,136,13396
S000319,P013,C08,R014,2022-08-02,2022-08-06,2022-08-06,265,265,496875
S000320,P005,C01,R032,2024-02-01,2024-02-04,2024-02-04,371,371,77910
S000321,P013,C10,R043,2023-10-22,2023-10-23,2023-10-23,484,484,907500
S000322,P013,C05,R022,2024-09-23,2024-09-27,2024-09-27,258,258,483750
S000323,P007,C10,R014,2024-01-04,2024-01-08,2024-01-08,32,32,100800
S000324,P004,C06,R049,2024-05-20,2024-05-21,2024-05-21,296,296,22570
S000325,P001,C02,R034,2024-12-07,2024-12-11,2024-12-14,322,322,46690
S000326,P007,C09,R049,2023-02-18,2023-02-19,2023-02-23,251,251,790650
S000327,P013,C05,R016,2024-05-07,2024-05-12,2024-05-12,123,123,230625
S000328,P012,C10,R049,2022-12-14,2022-12-15,2022-12-15,377,377,1500460
S000329,P006,C09,R012,2024-09-03,2024-09-05,2024-09-07,163,163,684600
S000330,P005,C03,R003,2023-08-04,2023-08-05,2023-08-05,411,411,86310
S000331,P018,C02,R023,2024-04-16,2024-04-17,2024-04-17,314,314,10676
S000332,P018,C07,R035,2024-04-30,2024-05-02,2024-05-02,72,72,2448
S000333,P018,C01,R049,2024-01-08,2024-01-09,2024-01-09,475,475,16150
S000334,P011,C02,R025,2023-06-15,2023-06-16,2023-06-16,72,72,208080
