log_id,shipment_id,reading_timestamp,recorded_temperature_c,within_range
L00000041,S000006,2023-09-17 12:00:00,5.5,True
L00000042,S000006,2023-09-17 20:00:00,3.8,True
L00000043,S000006,2023-09-18 02:00:00,5.3,True
L00000044,S000007,2023-11-09 08:00:00,6.2,True
L00000045,S000007,2023-11-09 12:00:00,6.4,True
L00000046,S000007,2023-11-09 23:00:00,5.3,True
L00000047,S000007,2023-11-10 23:00:00,6.5,True
L00000048,S000008,2024-02-09 04:00:00,6.1,True
L00000049,S000008,2024-02-10 04:00:00,2.9,True
L00000050,S000008,2024-02-10 15:00:00,4.7,True
L00000051,S000008,2024-02-10 14:00:00,3.4,True
L00000052,S000008,2024-02-11 01:00:00,7.1,True
L00000053,S000009,2024-01-25 14:00:00,6.1,True
L00000054,S000009,2024-01-26 04:00:00,3.1,True
L00000055,S000009,2024-01-26 08:00:00,5.6,True
L00000056,S000009,2024-01-27 05:00:00,5.2,True
L00000057,S000009,2024-01-27 00:00:00,3.4,True
L00000058,S000009,2024-01-28 09:00:00,7.4,True
L00000059,S000009,2024-01-28 23:00:00,5.5,True
L00000060,S000009,2024-01-28 15:00:00,6.1,True
L00000061,S000009,2024-01-29 21:00:00,7.1,True
L00000062,S000009,2024-01-30 05:00:00,5.7,True
L00000063,S000009,2024-01-30 08:00:00,3.9,True
L00000064,S000010,2022-12-22 05:00:00,6.6,True
L00000065,S000010,2022-12-23 04:00:00,3.3,True
L00000066,S000010,2022-12-23 03:00:00,7.1,True
L00000067,S000010,2022-12-24 08:00:00,5.2,True
L00000068,S000010,2022-12-24 09:00:00,6.7,True
L00000069,S000011,2024-11-02 19:00:00,7.2,True
L00000070,S000011,2024-11-02 18:00:00,3.8,True
L00000071,S000011,2024-11-03 07:00:00,5.8,True
L00000072,S000011,2024-11-03 00:00:00,2.3,True
L00000073,S000012,2023-10-13 15:00:00,3.2,True
L00000074,S000012,2023-10-13 15:20:00,5.2,True
L00000075,S000012,2023-10-14 19:40:00,4.9,True
L00000076,S000012,2023-10-14 20:00:00,6.0,True
L00000077,S000012,2023-10-15 09:20:00,3.8,True
L00000078,S000012,2023-10-16 15:40:00,3.6,True
L00000079,S000012,2023-10-16 23:00:00,3.2,True
L00000080,S000012,2023-10-17 14:20:00,3.5,True
L00000081,S000012,2023-10-17 15:40:00,5.3,True
L00000082,S000012,2023-10-18 08:00:00,4.5,True
L00000083,S000013,2022-10-06 09:00:00,7.5,True
L00000084,S000013,2022-10-06 20:00:00,3.7,True
L00000085,S000013,2022-10-07 13:00:00,5.0,True
L00000086,S000013,2022-10-07 20:00:00,3.9,True
L00000087,S000014,2023-08-08 07:00:00,3.7,True
L00000088,S000014,2023-08-09 06:00:00,7.6,True
L00000089,S000014,2023-08-09 07:00:00,4.5,True
L00000090,S000015,2022-07-19 08:00:00,7.2,True
L00000091,S000015,2022-07-20 09:00:00,3.6,True
L00000092,S000015,2022-07-20 15:00:00,3.1,True
L00000093,S000016,2024-02-06 13:00:00,5.3,True
L00000094,S000016,2024-02-06 22:00:00,5.5,True
L00000095,S000016,2024-02-07 11:00:00,2.7,True
L00000096,S000016,2024-02-08 03:00:00,4.3,True
L00000097,S000017,2023-06-23 03:00:00,4.3,True
L00000098,S000017,2023-06-23 09:00:00,5.7,True
L00000099,S000017,2023-06-24 04:00:00,5.7,True
L00000100,S000017,2023-06-24 23:00:00,5.2,True
L00000101,S000018,2022-11-26 07:00:00,3.1,True
L00000102,S000018,2022-11-26 18:00:00,5.0,True
L00000103,S000018,2022-11-27 22:00:00,6.1,True
L00000104,S000018,2022-11-28 17:00:00,6.9,True
L00000105,S000019,2023-09-18 15:00:00,2.4,True
L00000106,S000019,2023-09-19 04:42:51,5.1,True
L00000107,S000019,2023-09-19 09:25:43,3.5,True
L00000108,S000019,2023-09-20 05:08:34,5.8,True
L00000109,S000019,2023-09-20 07:51:26,3.2,True
L00000110,S000019,2023-09-21 01:34:17,6.0,True
L00000111,S000019,2023-09-21 22:17:09,4.4,True
L00000112,S000019,2023-09-22 00:00:00,7.4,True
L00000113,S000020,2023-02-11 15:00:00,6.3,True
L00000114,S000020,2023-02-11 12:00:00,3.4,True
L00000115,S000020,2023-02-11 22:00:00,5.2,True
L00000116,S000020,2023-02-12 09:00:00,6.1,True
L00000117,S000021,2023-06-08 16:00:00,6.7,True
L00000118,S000021,2023-06-09 05:42:51,5.3,True
L00000119,S000021,2023-06-09 08:25:43,5.2,True
L00000120,S000021,2023-06-09 18:08:34,3.6,True
L00000121,S000021,2023-06-10 22:51:26,2.8,True
L00000122,S000021,2023-06-10 22:34:17,7.1,True
L00000123,S000021,2023-06-11 15:17:09,7.2,True
L00000124,S000021,2023-06-12 02:00:00,5.7,True
L00000125,S000022,2023-09-30 19:00:00,6.1,True
L00000126,S000022,2023-09-30 10:00:00,6.9,True
L00000127,S000022,2023-10-01 05:00:00,6.9,True
L00000128,S000022,2023-10-01 21:00:00,4.5,True
L00000129,S000023,2024-10-28 12:00:00,2.8,True
L00000130,S000023,2024-10-28 16:00:00,3.2,True
L00000131,S000023,2024-10-29 21:00:00,7.2,True
L00000132,S000024,2024-05-02 02:00:00,4.3,True
L00000133,S000024,2024-05-03 03:17:09,13.7,False
L00000134,S000024,2024-05-03 04:34:17,7.6,True
L00000135,S000024,2024-05-03 10:51:26,3.8,True
L00000136,S000024,2024-05-04 04:08:34,3.9,True
L00000137,S000024,2024-05-04 05:25:43,4.9,True
L00000138,S000024,2024-05-04 20:42:51,4.7,True
L00000139,S000024,2024-05-05 11:00:00,7.7,True
L00000140,S000025,2023-04-05 21:00:00,3.6,True
L00000141,S000025,2023-04-06 01:00:00,4.1,True
L00000142,S000025,2023-04-06 01:00:00,6.3,True
L00000143,S000025,2023-04-06 21:00:00,5.8,True
L00000144,S000026,2024-10-06 06:00:00,5.4,True
L00000145,S000026,2024-10-07 10:00:00,2.8,True
L00000146,S000026,2024-10-07 10:00:00,4.3,True
L00000147,S000027,2023-07-18 13:00:00,5.5,True
L00000148,S000027,2023-07-18 21:20:00,7.6,True
L00000149,S000027,2023-07-19 03:40:00,4.9,True
L00000150,S000027,2023-07-19 16:00:00,7.2,True
L00000151,S000027,2023-07-20 15:20:00,4.6,True
L00000152,S000027,2023-07-20 22:40:00,4.2,True
L00000153,S000027,2023-07-22 04:00:00,5.8,True
L00000154,S000027,2023-07-22 05:20:00,5.9,True
L00000155,S000027,2023-07-22 15:40:00,7.0,True
L00000156,S000027,2023-07-23 23:00:00,3.5,True
L00000157,S000028,2024-02-13 11:00:00,6.5,True
L00000158,S000028,2024-02-14 07:20:00,2.5,True
L00000159,S000028,2024-02-14 19:40:00,7.7,True
L00000160,S000028,2024-02-14 20:00:00,4.8,True
L00000161,S000028,2024-02-15 18:20:00,3.8,True
L00000162,S000028,2024-02-15 22:40:00,7.1,True
L00000163,S000028,2024-02-16 09:00:00,6.3,True
L00000164,S000028,2024-02-17 06:20:00,7.4,True
L00000165,S000028,2024-02-17 21:40:00,4.1,True
L00000166,S000028,2024-02-18 01:00:00,5.3,True
L00000167,S000029,2024-04-08 23:00:00,6.9,True
L00000168,S000029,2024-04-08 16:00:00,3.9,True
L00000169,S000029,2024-04-09 07:00:00,4.4,True
L00000170,S000029,2024-04-09 17:00:00,6.9,True
L00000171,S000029,2024-04-10 05:00:00,4.0,True
L00000172,S000029,2024-04-11 01:00:00,3.2,True
L00000173,S000029,2024-04-11 00:00:00,5.3,True
L00000174,S000029,2024-04-11 17:00:00,7.4,True
L00000175,S000029,2024-04-12 23:00:00,6.1,True
L00000176,S000030,2024-04-06 07:00:00,3.4,True
L00000177,S000030,2024-04-06 22:00:00,5.9,True
L00000178,S000030,2024-04-07 22:00:00,4.2,True
L00000179,S000030,2024-04-08 11:00:00,3.7,True
L00000180,S000031,2023-08-19 08:00:00,6.9,True
L00000181,S000031,2023-08-19 23:00:00,3.0,True
L00000182,S000031,2023-08-20 20:00:00,6.1,True
L00000183,S000032,2024-03-25 08:00:00,6.7,True
L00000184,S000032,2024-03-25 13:00:00,6.7,True
L00000185,S000032,2024-03-26 03:00:00,7.0,True
L00000186,S000032,2024-03-27 07:00:00,7.2,True
L00000187,S000032,2024-03-27 13:00:00,5.1,True
L00000188,S000033,2024-02-15 22:00:00,9.6,False
L00000189,S000033,2024-02-16 00:00:00,2.7,True
L00000190,S000033,2024-02-16 09:00:00,4.4,True
L00000191,S000033,2024-02-16 21:00:00,2.6,True
L00000192,S000034,2024-10-28 03:00:00,5.4,True
L00000193,S000034,2024-10-29 11:00:00,4.7,True
L00000194,S000034,2024-10-29 09:00:00,5.9,True
L00000195,S000034,2024-10-30 04:00:00,4.1,True
L00000196,S000034,2024-10-30 09:00:00,3.1,True
L00000197,S000034,2024-10-31 09:00:00,7.6,True
L00000198,S000034,2024-10-31 13:00:00,6.8,True
L00000199,S000034,2024-10-31 22:00:00,6.9,True
L00000200,S000034,2024-11-01 12:00:00,3.7,True
L00000201,S000034,2024-11-02 10:00:00,2.5,True
L00000202,S000034,2024-11-02 09:00:00,3.9,True
L00000203,S000035,2024-03-13 09:00:00,5.1,True
L00000204,S000035,2024-03-14 00:00:00,6.5,True
L00000205,S000035,2024-03-14 17:00:00,3.5,True
L00000206,S000036,2024-05-14 14:00:00,2.6,True
L00000207,S000036,2024-05-15 09:00:00,5.2,True
L00000208,S000036,2024-05-15 06:00:00,5.2,True
L00000209,S000036,2024-05-16 04:00:00,5.7,True
L00000210,S000036,2024-05-16 15:00:00,6.2,True
L00000211,S000036,2024-05-17 11:00:00,7.6,True
L00000212,S000036,2024-05-17 05:00:00,5.1,True
L00000213,S000036,2024-05-18 09:00:00,4.0,True
L00000214,S000036,2024-05-18 02:00:00,6.6,True
L00000215,S000037,2023-07-24 06:00:00,6.3,True
L00000216,S000037,2023-07-24 12:00:00,3.7,True
L00000217,S000037,2023-07-24 16:00:00,3.3,True
L00000218,S000037,2023-07-25 01:00:00,2.7,True
L00000219,S000038,2023-12-18 22:00:00,4.5,True
L00000220,S000038,2023-12-19 06:00:00,3.2,True
L00000221,S000038,2023-12-19 04:00:00,3.1,True
L00000222,S000038,2023-12-19 15:00:00,3.7,True
L00000223,S000039,2024-03-22 22:00:00,3.3,True
L00000224,S000039,2024-03-23 04:00:00,7.3,True
L00000225,S000039,2024-03-23 14:00:00,5.7,True
L00000226,S000039,2024-03-23 13:00:00,5.1,True
L00000227,S000039,2024-03-24 17:00:00,5.8,True
L00000228,S000039,2024-03-24 19:00:00,4.7,True
L00000229,S000039,2024-03-25 03:00:00,6.2,True
L00000230,S000039,2024-03-26 02:00:00,2.6,True
L00000231,S000039,2024-03-26 04:00:00,5.4,True
L00000232,S000039,2024-03-27 02:00:00,3.2,True
L00000233,S000039,2024-03-27 21:00:00,2.9,True
L00000234,S000040,2023-10-03 05:00:00,2.5,True
L00000235,S000040,2023-10-04 09:54:33,2.5,True
L00000236,S000040,2023-10-04 12:49:05,6.9,True
L00000237,S000040,2023-10-04 22:43:38,6.1,True
L00000238,S000040,2023-10-05 03:38:11,4.9,True
L00000239,S000040,2023-10-05 13:32:44,2.8,True
L00000240,S000040,2023-10-06 13:27:16,5.0,True
L00000241,S000040,2023-10-06 12:21:49,4.9,True
L00000242,S000040,2023-10-07 07:16:22,3.2,True
L00000243,S000040,2023-10-07 17:10:55,4.6,True
L00000244,S000040,2023-10-08 09:05:27,4.5,True
L00000245,S000040,2023-10-08 07:00:00,5.6,True
L00000246,S000041,2024-05-22 04:00:00,3.7,True
L00000247,S000041,2024-05-22 15:00:00,2.4,True
L00000248,S000041,2024-05-23 04:00:00,7.3,True
L00000249,S000041,2024-05-23 22:00:00,5.0,True
L00000250,S000042,2024-03-15 12:00:00,5.6,True
L00000251,S000042,2024-03-16 08:24:00,7.4,True
L00000252,S000042,2024-03-17 02:48:00,7.4,True
L00000253,S000042,2024-03-16 19:12:00,7.0,True
L00000254,S000042,2024-03-18 03:36:00,5.7,True
L00000255,S000042,2024-03-18 12:00:00,6.6,True
L00000256,S000043,2024-06-20 23:00:00,5.8,True
L00000257,S000043,2024-06-21 05:00:00,4.8,True
L00000258,S000043,2024-06-21 19:00:00,5.2,True
L00000259,S000044,2024-11-28 12:00:00,6.7,True
L00000260,S000044,2024-11-29 09:17:09,5.8,True
L00000261,S000044,2024-11-29 01:34:17,3.4,True
L00000262,S000044,2024-11-29 20:51:26,3.8,True
L00000263,S000044,2024-11-29 21:08:34,3.5,True
L00000264,S000044,2024-11-30 22:25:43,4.3,True
L00000265,S000044,2024-12-01 06:42:51,2.5,True
L00000266,S000044,2024-12-01 00:00:00,5.6,True
L00000267,S000045,2023-09-28 12:00:00,4.4,True
L00000268,S000045,2023-09-28 23:42:51,6.0,True
L00000269,S000045,2023-09-29 09:25:43,4.1,True
L00000270,S000045,2023-09-30 07:08:34,3.7,True
L00000271,S000045,2023-09-30 16:51:26,5.0,True
L00000272,S000045,2023-10-01 06:34:17,6.0,True
L00000273,S000045,2023-10-01 22:17:09,4.2,True
L00000274,S000045,2023-10-02 08:00:00,7.4,True
L00000275,S000046,2022-08-05 02:00:00,6.6,True
L00000276,S000046,2022-08-06 08:00:00,3.8,True
L00000277,S000046,2022-08-06 01:00:00,3.3,True
L00000278,S000047,2024-08-06 06:00:00,5.4,True
L00000279,S000047,2024-08-07 03:20:00,6.3,True
L00000280,S000047,2024-08-08 00:40:00,3.0,True
L00000281,S000047,2024-08-08 00:00:00,3.7,True
L00000282,S000047,2024-08-08 16:20:00,5.4,True
L00000283,S000047,2024-08-08 23:40:00,7.0,True
L00000284,S000047,2024-08-10 03:00:00,5.3,True
L00000285,S000047,2024-08-10 16:20:00,3.6,True
L00000286,S000047,2024-08-11 09:40:00,6.0,True
L00000287,S000047,2024-08-11 22:00:00,6.3,True
L00000288,S000048,2023-06-19 12:00:00,7.2,True
L00000289,S000048,2023-06-20 00:00:00,5.0,True
L00000290,S000048,2023-06-20 22:00:00,6.8,True
L00000291,S000048,2023-06-20 18:00:00,4.0,True
L00000292,S000048,2023-06-21 02:00:00,7.1,True
L00000293,S000048,2023-06-22 06:00:00,4.4,True
L00000294,S000048,2023-06-22 22:00:00,2.4,True
L00000295,S000048,2023-06-23 08:00:00,7.2,True
L00000296,S000048,2023-06-23 07:00:00,2.8,True
L00000297,S000049,2023-09-11 17:00:00,6.0,True
L00000298,S000049,2023-09-11 21:00:00,4.9,True
L00000299,S000049,2023-09-12 13:00:00,11.2,False
L00000300,S000049,2023-09-12 16:00:00,2.7,True
L00000301,S000050,2022-11-28 14:00:00,4.1,True
L00000302,S000050,2022-11-29 06:00:00,5.9,True
L00000303,S000050,2022-11-28 20:00:00,6.4,True
L00000304,S000050,2022-11-29 13:00:00,6.6,True
L00000305,S000051,2024-08-31 14:00:00,7.3,True
L00000306,S000051,2024-08-31 21:00:00,7.6,True
L00000307,S000051,2024-09-01 15:00:00,7.7,True
L00000308,S000051,2024-09-01 18:00:00,2.6,True
L00000309,S000052,2024-07-29 18:00:00,4.2,True
L00000310,S000052,2024-07-30 07:00:00,2.9,True
L00000311,S000052,2024-07-30 21:00:00,3.1,True
L00000312,S000053,2024-08-13 10:00:00,2.8,True
L00000313,S000053,2024-08-13 20:00:00,2.8,True
L00000314,S000053,2024-08-14 19:00:00,6.1,True
L00000315,S000053,2024-08-15 10:00:00,2.7,True
L00000316,S000053,2024-08-15 08:00:00,6.7,True
L00000317,S000053,2024-08-16 05:00:00,6.1,True
L00000318,S000053,2024-08-16 00:00:00,2.7,True
L00000319,S000053,2024-08-17 04:00:00,2.8,True
L00000320,S000053,2024-08-17 06:00:00,7.6,True
L00000321,S000054,2023-11-01 00:00:00,7.1,True
L00000322,S000054,2023-11-01 12:54:33,3.6,True
L00000323,S000054,2023-11-02 06:49:05,7.2,True
L00000324,S000054,2023-11-02 15:43:38,5.5,True
L00000325,S000054,2023-11-03 07:38:11,4.2,True
L00000326,S000054,2023-11-04 04:32:44,6.1,True
L00000327,S000054,2023-11-04 00:27:16,4.9,True
L00000328,S000054,2023-11-04 13:21:49,4.3,True
L00000329,S000054,2023-11-05 12:16:22,6.1,True
L00000330,S000054,2023-11-05 20:10:55,3.6,True
L00000331,S000054,2023-11-06 00:05:27,4.1,True
L00000332,S000054,2023-11-06 15:00:00,4.6,True
L00000333,S000055,2023-07-06 09:00:00,4.8,True
L00000334,S000055,2023-07-06 18:40:00,2.6,True
L00000335,S000055,2023-07-07 04:20:00,2.9,True
L00000336,S000055,2023-07-07 11:00:00,2.9,True
L00000337,S000055,2023-07-08 17:40:00,5.8,True
L00000338,S000055,2023-07-08 11:20:00,6.3,True
L00000339,S000055,2023-07-09 02:00:00,5.5,True
L00000340,S000055,2023-07-09 05:40:00,7.5,True
L00000341,S000055,2023-07-10 12:20:00,4.3,True
L00000342,S000055,2023-07-10 17:00:00,3.8,True
L00000343,S000056,2024-10-17 03:00:00,4.7,True
L00000344,S000056,2024-10-17 14:00:00,6.6,True
L00000345,S000056,2024-10-18 01:00:00,7.6,True
L00000346,S000056,2024-10-18 07:00:00,5.3,True
L00000347,S000057,2023-09-15 22:00:00,7.3,True
L00000348,S000057,2023-09-15 20:00:00,7.3,True
L00000349,S000057,2023-09-17 04:00:00,3.7,True
L00000350,S000057,2023-09-17 15:00:00,6.1,True
L00000351,S000058,2022-10-28 15:00:00,5.7,True
L00000352,S000058,2022-10-28 15:00:00,6.1,True
L00000353,S000058,2022-10-29 02:00:00,4.8,True
L00000354,S000059,2024-05-17 02:00:00,4.4,True
L00000355,S000059,2024-05-17 17:17:09,6.3,True
L00000356,S000059,2024-05-17 23:34:17,7.2,True
L00000357,S000059,2024-05-18 23:51:26,7.5,True
L00000358,S000059,2024-05-19 06:08:34,2.6,True
L00000359,S000059,2024-05-19 22:25:43,4.4,True
L00000360,S000059,2024-05-20 08:42:51,2.9,True
L00000361,S000059,2024-05-20 19:00:00,4.1,True
L00000362,S000060,2023-03-28 09:00:00,4.8,True
L00000363,S000060,2023-03-29 04:40:00,4.2,True
L00000364,S000060,2023-03-29 16:20:00,5.5,True
L00000365,S000060,2023-03-29 09:00:00,2.7,True
L00000366,S000060,2023-03-30 13:40:00,7.6,True
L00000367,S000060,2023-03-31 04:20:00,7.6,True
L00000368,S000060,2023-03-30 19:00:00,6.1,True
L00000369,S000060,2023-03-31 08:40:00,5.2,True
L00000370,S000060,2023-04-01 09:20:00,4.0,True
L00000371,S000060,2023-04-01 06:00:00,6.7,True
L00000372,S000061,2024-06-25 22:00:00,3.0,True
L00000373,S000061,2024-06-26 07:00:00,2.7,True
L00000374,S000061,2024-06-26 15:00:00,7.4,True
L00000375,S000062,2023-12-08 08:00:00,5.6,True
L00000376,S000062,2023-12-09 08:00:00,4.6,True
L00000377,S000062,2023-12-09 18:00:00,7.3,True
L00000378,S000063,2024-10-16 09:00:00,3.2,True
L00000379,S000063,2024-10-17 09:24:00,4.5,True
L00000380,S000063,2024-10-18 03:48:00,6.5,True
L00000381,S000063,2024-10-18 13:12:00,4.9,True
L00000382,S000063,2024-10-18 18:36:00,7.6,True
L00000383,S000063,2024-10-19 14:00:00,4.3,True
L00000384,S000064,2024-08-06 19:00:00,7.5,True
L00000385,S000064,2024-08-06 13:00:00,6.8,True
L00000386,S000064,2024-08-07 13:00:00,6.8,True
L00000387,S000064,2024-08-08 11:00:00,4.8,True
L00000388,S000064,2024-08-08 10:00:00,4.5,True
L00000389,S000064,2024-08-09 07:00:00,3.8,True
L00000390,S000064,2024-08-09 08:00:00,2.6,True
L00000391,S000065,2024-10-15 05:00:00,5.2,True
L00000392,S000065,2024-10-16 04:42:51,6.3,True
L00000393,S000065,2024-10-16 19:25:43,7.2,True
L00000394,S000065,2024-10-17 13:08:34,5.5,True
L00000395,S000065,2024-10-17 20:51:26,6.2,True
L00000396,S000065,2024-10-18 04:34:17,6.4,True
L00000397,S000065,2024-10-18 15:17:09,4.3,True
L00000398,S000065,2024-10-19 18:00:00,3.6,True
L00000399,S000066,2023-05-11 05:00:00,7.5,True
L00000400,S000066,2023-05-11 22:00:00,5.6,True
L00000401,S000066,2023-05-12 13:00:00,3.5,True
L00000402,S000067,2024-06-16 03:00:00,2.6,True
L00000403,S000067,2024-06-17 00:00:00,3.8,True
L00000404,S000067,2024-06-17 16:00:00,2.4,True
L00000405,S000068,2024-02-12 20:00:00,6.5,True
L00000406,S000068,2024-02-12 22:00:00,5.1,True
L00000407,S000068,2024-02-12 17:00:00,6.9,True
L00000408,S000068,2024-02-13 06:00:00,5.3,True
L00000409,S000069,2024-03-31 22:00:00,6.6,True
L00000410,S000069,2024-03-31 15:54:33,5.5,True
L00000411,S000069,2024-04-01 06:49:05,4.9,True
L00000412,S000069,2024-04-02 01:43:38,10.8,False
L00000413,S000069,2024-04-02 08:38:11,6.5,True
L00000414,S000069,2024-04-02 08:32:44,5.8,True
L00000415,S000069,2024-04-03 00:27:16,6.6,True
L00000416,S000069,2024-04-03 07:21:49,7.2,True
L00000417,S000069,2024-04-04 05:16:22,5.6,True
L00000418,S000069,2024-04-04 05:10:55,7.6,True
L00000419,S000069,2024-04-05 09:05:27,5.6,True
L00000420,S000069,2024-04-05 04:00:00,5.7,True
L00000421,S000070,2024-03-26 12:00:00,7.2,True
L00000422,S000070,2024-03-26 18:00:00,4.2,True
L00000423,S000070,2024-03-27 19:00:00,5.1,True
L00000424,S000070,2024-03-28 04:00:00,6.5,True
L00000425,S000070,2024-03-28 23:00:00,4.4,True
L00000426,S000070,2024-03-28 16:00:00,5.7,True
L00000427,S000070,2024-03-29 02:00:00,7.0,True
L00000428,S000071,2024-12-03 09:00:00,4.8,True
L00000429,S000071,2024-12-04 07:42:51,6.8,True
L00000430,S000071,2024-12-04 21:25:43,6.5,True
L00000431,S000071,2024-12-05 14:08:34,2.7,True
L00000432,S000071,2024-12-05 21:51:26,2.5,True
L00000433,S000071,2024-12-06 00:34:17,5.7,True
L00000434,S000071,2024-12-07 00:17:09,4.2,True
L00000435,S000071,2024-12-07 17:00:00,3.4,True
L00000436,S000072,2024-04-13 22:00:00,2.7,True
L00000437,S000072,2024-04-13 19:00:00,3.0,True
L00000438,S000072,2024-04-14 18:00:00,3.0,True
L00000439,S000073,2023-03-03 21:00:00,5.8,True
L00000440,S000073,2023-03-04 08:00:00,3.3,True
L00000441,S000073,2023-03-04 04:00:00,4.2,True
L00000442,S000074,2024-11-02 14:00:00,5.1,True
L00000443,S000074,2024-11-02 12:00:00,7.6,True
L00000444,S000074,2024-11-03 23:00:00,5.6,True
L00000445,S000075,2023-06-03 20:00:00,3.2,True
L00000446,S000075,2023-06-03 11:36:00,3.8,True
L00000447,S000075,2023-06-04 05:12:00,3.3,True
L00000448,S000075,2023-06-05 01:48:00,2.8,True
L00000449,S000075,2023-06-05 07:24:00,3.0,True
L00000450,S000075,2023-06-05 12:00:00,4.8,True
L00000451,S000076,2023-05-13 09:00:00,3.0,True
L00000452,S000076,2023-05-13 15:00:00,4.1,True
L00000453,S000076,2023-05-14 15:00:00,4.0,True
L00000454,S000076,2023-05-14 02:00:00,2.8,True
L00000455,S000077,2024-01-30 01:00:00,2.7,True
L00000456,S000077,2024-01-31 01:00:00,7.0,True
L00000457,S000077,2024-01-31 19:00:00,7.3,True
L00000458,S000077,2024-02-01 11:00:00,2.6,True
L00000459,S000078,2023-07-31 19:00:00,2.8,True
L00000460,S000078,2023-08-01 01:20:00,5.5,True
L00000461,S000078,2023-08-01 21:40:00,7.6,True
L00000462,S000078,2023-08-02 13:00:00,5.2,True
L00000463,S000078,2023-08-02 12:20:00,7.3,True
L00000464,S000078,2023-08-03 09:40:00,3.6,True
L00000465,S000078,2023-08-04 02:00:00,6.4,True
L00000466,S000078,2023-08-04 01:20:00,5.2,True
L00000467,S000078,2023-08-04 17:40:00,6.2,True
L00000468,S000078,2023-08-05 14:00:00,2.6,True
L00000469,S000079,2023-02-25 05:00:00,6.2,True
L00000470,S000079,2023-02-25 14:00:00,7.1,True
L00000471,S000079,2023-02-26 14:00:00,5.1,True
L00000472,S000079,2023-02-26 23:00:00,5.2,True
L00000473,S000079,2023-02-27 18:00:00,2.9,True
L00000474,S000079,2023-02-27 21:00:00,4.7,True
L00000475,S000079,2023-02-28 20:00:00,5.2,True
L00000476,S000080,2023-06-24 12:00:00,6.3,True
L00000477,S000080,2023-06-25 06:00:00,3.3,True
L00000478,S000080,2023-06-25 11:00:00,5.3,True
L00000479,S000081,2024-10-01 21:00:00,5.2,True
L00000480,S000081,2024-10-02 11:00:00,3.6,True
L00000481,S000081,2024-10-02 01:00:00,4.2,True
L00000482,S000082,2024-01-24 19:00:00,6.6,True
L00000483,S000082,2024-01-25 00:00:00,5.0,True
L00000484,S000082,2024-01-26 05:00:00,2.8,True
L00000485,S000082,2024-01-26 23:00:00,5.2,True
L00000486,S000083,2024-04-18 11:00:00,5.5,True
L00000487,S000083,2024-04-19 11:00:00,5.3,True
L00000488,S000083,2024-04-19 04:00:00,4.3,True
L00000489,S000084,2023-09-29 11:00:00,5.8,True
L00000490,S000084,2023-09-30 00:00:00,5.4,True
L00000491,S000084,2023-09-30 08:00:00,4.2,True
L00000492,S000084,2023-09-30 08:00:00,7.6,True
L00000493,S000085,2024-05-02 02:00:00,2.3,True
L00000494,S000085,2024-05-02 16:00:00,3.5,True
L00000495,S000085,2024-05-03 07:00:00,4.3,True
L00000496,S000086,2024-02-04 08:00:00,2.8,True
L00000497,S000086,2024-02-05 04:54:33,6.7,True
